created_at,treatment,sentiment,polarity,subjectivity,text,tweet_words
10/17/2020 19:59,covid-19 vaccine,Negative,-0.104545455,0.484848485,halted trials raise new safety questions about rushed covid19 vaccines first and foremost there  bad luck  ,halted trials raise new safety questions rushed covid19 vaccines first foremost bad luck
10/17/2020 19:35,covid-19 vaccine,Negative,-0.0625,0.0625,uae foreign minister got the covid19 vaccine today congrats to everyone which our road back to normality ,uae foreign minister got covid19 vaccine today congrats everyone road back normality
10/17/2020 19:30,covid-19 vaccine,Negative,-0.125,0.375, excess deaths include deaths of other things like despair and the increase ,excess deaths include deaths things like despair increase
10/17/2020 19:26,covid-19 vaccine,Negative,-0.5,0.708333333,5 this month this is scary the future is bleak if we dont get  vaccine covid19 1 276 additional cases 8 ,5 month scary future bleak dont get vaccine covid19 1 276 additional cases 8
10/17/2020 19:10,covid-19 vaccine,Negative,-0.166666667,0.066666667, the flu is significantly less infectious than covid19 less de ,flu significantly less infectious covid19 less
10/17/2020 18:58,covid-19 vaccine,Negative,-0.133333333,0.466666667,so if there  no vaccine we are ultimately left with  zero sum game choice and  day of reckoning only two optio ,vaccine ultimately left zero sum game choice day reckoning two optio
10/17/2020 18:58,covid-19 vaccine,Negative,-0.1,0.833333333,two covid19 vaccines stalled by potential side effects have one key feature in common both are based on adenoviru ,two covid19 vaccines stalled potential side effects key feature common based adenoviru
10/17/2020 18:56,covid-19 vaccine,Negative,-0.714285714,0.857142857,   sick to death saying this for those waiting for  vaccine to cure covid19 it took 50 years ,sick death saying waiting vaccine cure covid19 took 50 years
10/17/2020 18:50,covid-19 vaccine,Negative,-0.05,0.55,covid19 vaccine could be ready late november 2020 says pfizer ,covid19 vaccine could ready late november 2020 says pfizer
10/17/2020 21:17,covid-19 vaccine,Neutral,0,0,india may get covid19 vaccine by march 2021 serum institute of india ,india may get covid19 vaccine march 2021 serum institute india
10/17/2020 21:17,covid-19 vaccine,Neutral,0,0.5,while american politicians especially in the trump administration have blamed globalization for the covid19 pa ,american politicians especially trump administration blamed globalization covid19
10/17/2020 21:16,covid-19 vaccine,Neutral,0,0.1,ticker symbol nk nantkwest immunitybio on go with study of human adenovirus vaccine in covid19 sn,ticker symbol nk nantkwest immunitybio go study human adenovirus vaccine covid19 sn
10/17/2020 21:15,covid-19 vaccine,Neutral,0,0,ticker symbol nk fda authorizes phase 1 trial of immunitybio  novel covid19 vaccine candidate had5 dual constru ,ticker symbol nk fda authorizes phase 1 trial immunitybio novel covid19 vaccine candidate had5 dual constru
10/17/2020 21:14,covid-19 vaccine,Neutral,0,0,pfizer inc cannot request emergency authorization of its covid19 vaccine before the third week of november and ,pfizer inc request emergency authorization covid19 vaccine third week november
10/17/2020 21:13,covid-19 vaccine,Neutral,0,0.1, india gives go ahead to domestic trial of russia  pioneering sputnik  covid19 vaccine ,india gives go ahead domestic trial russia pioneering sputnik covid19 vaccine
10/17/2020 21:12,covid-19 vaccine,Neutral,0,0,fyi who warns millennials may not receive covid19 vaccine until 2022 there will be  lot of guidance coming ,fyi warns millennials may receive covid19 vaccine 2022 lot guidance coming
10/17/2020 21:11,covid-19 vaccine,Neutral,0,0.188888889, gaslighting trying to add in hope to further terrorise the irish public has shares in vaccine companies avoid ,gaslighting trying add hope terrorise irish public shares vaccine companies avoid
10/17/2020 21:11,covid-19 vaccine,Neutral,0,0,safety and immunogenicity of two rna based covid19 vaccine candidates nejm ,safety immunogenicity two rna based covid19 vaccine candidates nejm
10/17/2020 21:06,covid-19 vaccine,Neutral,0,0,we need to get out of congress before the trump white house can screw around with  covid19 vaccine if ,need get congress trump white house screw around covid19 vaccine
10/17/2020 21:03,covid-19 vaccine,Neutral,0,0,sen christopher lawrence bong go said the government had already set aside funds for the purchase of the coronav ,christopher lawrence bong go said government already set aside funds purchase coronav
10/17/2020 21:00,covid-19 vaccine,Neutral,0,0,vaccine targeting covid19  spikes  proteins ,vaccine targeting covid19 spikes proteins
10/17/2020 21:00,covid-19 vaccine,Neutral,0,0,pfizer eyes vaccine race finish line the   drug maker and its partner biontech say there are on track to seek  ,pfizer eyes vaccine race finish line maker partner biontech say track seek
10/17/2020 21:00,covid-19 vaccine,Neutral,0,0,medical schools hospitals and plenty of coronavirus how texas became  leading covid19 research hub covid19 ,medical schools hospitals plenty coronavirus texas became leading covid19 research hub covid19
10/17/2020 21:00,covid-19 vaccine,Neutral,0,0, yes  ve seen the sr stats  had covid19 after  christmas trip  wa ,yes seen sr stats covid19 christmas trip wa
10/17/2020 21:00,covid-19 vaccine,Neutral,0,0,johnson amp johnson voluntarily ordered  halt to all of its covid19 vaccine studies so investigators can probe the ,johnson amp johnson voluntarily ordered halt covid19 vaccine studies investigators probe
10/17/2020 21:00,covid-19 vaccine,Neutral,0,0.5,an open letter from the frontrunner covid19 vaccine producer published friday ends any expectations  vaccine migh ,open letter frontrunner covid19 vaccine producer published friday ends expectations vaccine migh
10/17/2020 20:56,covid-19 vaccine,Neutral,0,0, in spite of mistreatment by the government protestant groups amp the media all 200 000 shincheonji ,spite mistreatment government protestant groups amp media 200 000 shincheonji
10/17/2020 20:56,covid-19 vaccine,Neutral,0,0, in spite of mistreatment by the government protestant groups amp the media all 200 000 shincheonji ,spite mistreatment government protestant groups amp media 200 000 shincheonji
10/17/2020 20:56,covid-19 vaccine,Neutral,0,0, in spite of mistreatment by the government protestant groups amp the media all 200 000 shincheonji ,spite mistreatment government protestant groups amp media 200 000 shincheonji
10/17/2020 20:55,covid-19 vaccine,Neutral,0,0, in spite of mistreatment by the government protestant groups amp the media all 200 000  ,spite mistreatment government protestant groups amp media 200 000
10/17/2020 20:55,covid-19 vaccine,Neutral,0,0, in spite of mistreatment by the government protestant groups amp the media all 200 000 ,spite mistreatment government protestant groups amp media 200 000
10/17/2020 20:54,covid-19 vaccine,Neutral,0,0,inside the mind of an anti vaxxer the majority of americans will need to take the coming co ,inside mind anti vaxxer majority americans need coming co
10/17/2020 20:49,covid-19 vaccine,Neutral,0,0,msm claims vaccine skeptics merging  extremists amp covid19 vaccine surveillance trojan horse via ,msm claims vaccine skeptics merging extremists amp covid19 vaccine surveillance trojan horse via
10/17/2020 20:48,covid-19 vaccine,Neutral,0,0.125, covid19 is  hoax and the same goes for the vaccine don  take the vaccine  become apathetic if   ,covid19 hoax goes vaccine vaccine become apathetic
10/17/2020 20:45,covid-19 vaccine,Neutral,0,0, went on thismatters to discuss the road to  vaccine you can listen to the podcast at the link bel ,went thismatters discuss road vaccine listen podcast link bel
10/17/2020 20:45,covid-19 vaccine,Neutral,0,0.666666667, vaccine before the   election increasingly unlikely more on how potential covid19 vaccine makers are speaking ,vaccine election increasingly unlikely potential covid19 vaccine makers speaking
10/17/2020 20:44,covid-19 vaccine,Neutral,0,0,covid19 pm modi pushes poll like vaccine distribution ,covid19 pm modi pushes poll like vaccine distribution
10/17/2020 20:44,covid-19 vaccine,Neutral,0,0, until there is  reliable vaccine for  ,reliable vaccine
10/17/2020 20:44,covid-19 vaccine,Neutral,0,1,india likely to get covid19 vaccine by march 2021 serum institute of india pune dr suresh jadhav ,india likely get covid19 vaccine march 2021 serum institute india pune dr suresh jadhav
10/17/2020 20:44,covid-19 vaccine,Neutral,0,0,sputnik  covid19 vaccine gets  nod for clinical trials in india covidvaccine southasiandaily ymedia,sputnik covid19 vaccine gets nod clinical trials india covidvaccine southasiandaily ymedia
10/17/2020 20:41,covid-19 vaccine,Neutral,0,0.55, uh no statistics have shown covid19 only has  1 chance of actually killing you heal ,uh statistics shown covid19 1 chance actually killing heal
10/17/2020 20:40,covid-19 vaccine,Neutral,0,0, no no no they already all get the flu vaccine which primes them to get covid19 the synergist ,already get flu vaccine primes get covid19 synergist
10/17/2020 20:40,covid-19 vaccine,Neutral,0,0,ailments in covid19 trials raise questions about vaccine method bloomberg ,ailments covid19 trials raise questions vaccine method bloomberg
10/17/2020 20:38,covid-19 vaccine,Neutral,0,0.5,covid19 most vulnerable could get vaccine by christmas ,covid19 vulnerable could get vaccine christmas
10/17/2020 20:36,covid-19 vaccine,Neutral,0,0, they made  covid19 vaccine and they want to test it on africa before its distributed in countries like the us,made covid19 vaccine test africa distributed countries like us
10/17/2020 20:33,covid-19 vaccine,Neutral,0,1,the vaccine is in the final stage of clinical testing but has not yet been approved ,vaccine final stage clinical testing yet approved
10/17/2020 20:32,covid-19 vaccine,Neutral,0,0,world bank approves 12 bln for covid19 vaccines covid19 vaccine worldbank ,world bank approves 12 bln covid19 vaccines covid19 vaccine worldbank
10/17/2020 20:32,covid-19 vaccine,Neutral,0,0,1   thinking about all the hype for  covid19 vaccine what   not seeing is any discussion of how the people  ,1 thinking hype covid19 vaccine seeing discussion people
10/17/2020 20:32,covid-19 vaccine,Neutral,0,0, drreddy  rdif get dcgi nod for clinical trial of covid19 vaccine sputnikv in india ,drreddy rdif get dcgi nod clinical trial covid19 vaccine sputnikv india
10/17/2020 20:31,covid-19 vaccine,Neutral,0,0, the fear of us president trump after watching this clip  think that the results of the covid19 ,fear us president trump watching clip think results covid19
10/17/2020 20:30,covid-19 vaccine,Neutral,0,0,dna india russia  sputnik  covid19 vaccine gets nod for clinical trials in india covid clinicaltrials ,dna india russia sputnik covid19 vaccine gets nod clinical trials india covid clinicaltrials
10/17/2020 20:30,covid-19 vaccine,Neutral,0,0,pm takes stock of covid19 situation in the country covid19 narendramodi ,pm takes stock covid19 situation country covid19 narendramodi
10/17/2020 20:25,covid-19 vaccine,Neutral,0,0,safety and immunogenicity of two rna based covid19 vaccine candidates ,safety immunogenicity two rna based covid19 vaccine candidates
10/17/2020 20:22,covid-19 vaccine,Neutral,0,0, lukather has found  vaccine for covid19 ,lukather found vaccine covid19
10/17/2020 20:21,covid-19 vaccine,Neutral,0,0,professors leticia  shea pharm  and marta brooks pharm  shared tips for reducing covid19 risk when you  ,professors leticia shea pharm marta brooks pharm shared tips reducing covid19 risk
10/17/2020 20:18,covid-19 vaccine,Neutral,0,0,indian american co founded company and university of houston partner for covid19 vaccine ,indian american co founded company university houston partner covid19 vaccine
10/17/2020 20:17,covid-19 vaccine,Neutral,0,1,pfizer inc laid out  timetable for reaching key milestones in the development of its covid19 vaccine that could ,pfizer inc laid timetable reaching key milestones development covid19 vaccine could
10/17/2020 20:17,covid-19 vaccine,Neutral,0,0,pm modi suggests developing covid19 vaccine delivery plan for speedy access to citizens covid19 coronavirus ,pm modi suggests developing covid19 vaccine delivery plan speedy access citizens covid19 coronavirus
10/17/2020 20:15,covid-19 vaccine,Neutral,0,0,one day there  gonna be  vaccine for covid19 and they ll be some form  have to fill out for it so  probably won  bother ,day gon vaccine covid19 form fill probably bother
10/17/2020 20:10,covid-19 vaccine,Neutral,0,0,russia receives renewed approval for covid19 vaccine trials in india rdif ,russia receives renewed approval covid19 vaccine trials india rdif
10/17/2020 20:08,covid-19 vaccine,Neutral,0,0, reviewed the covid19 situation in the country including preparedness of vaccine delivery distribut ,reviewed covid19 situation country including preparedness vaccine delivery distribut
10/17/2020 20:07,covid-19 vaccine,Neutral,0,0,every living body infected with covid19 is  vessel for evolution each chance for mutation runs the risk of makin ,every living body infected covid19 vessel evolution chance mutation runs risk
10/17/2020 20:07,covid-19 vaccine,Neutral,0,0,would rather  vaccine for hangovers rather than covid19 you tell me you ve  cure for  hangover then slap my ve ,would rather vaccine hangovers rather covid19 tell cure hangover slap
10/17/2020 20:05,covid-19 vaccine,Neutral,0,0.066666667,kentucky department for public health announces covid19 vaccine distribution draft plan ,kentucky department public health announces covid19 vaccine distribution draft plan
10/17/2020 20:04,covid-19 vaccine,Neutral,0,0, christmas could bring present of covid19 vaccine expert says ,christmas could bring present covid19 vaccine expert says
10/17/2020 20:03,covid-19 vaccine,Neutral,0,0,the irony is trump saw  pre election vaccine as  boost to being re elected but the people see it as inappropriat ,irony trump saw pre election vaccine boost elected people see inappropriat
10/17/2020 20:00,covid-19 vaccine,Neutral,0,0.25,how could recent covid19 vaccine news impact stocks like boeing or docusign ,could recent covid19 vaccine news impact stocks like boeing docusign
10/17/2020 20:00,covid-19 vaccine,Neutral,0,0, protein testing and analysis for covid19 will introduce learners to the viral components the hu ,protein testing analysis covid19 introduce learners viral components hu
10/17/2020 20:00,covid-19 vaccine,Neutral,0,0,this month  covid19 inventor showcase from amp office of technology comm ,month covid19 inventor showcase amp office technology comm
10/17/2020 19:58,covid-19 vaccine,Neutral,0,0,pfizer sees emergency use filing for covid19 vaccine after   election cnbc malliard ,pfizer sees emergency use filing covid19 vaccine election cnbc malliard
10/17/2020 19:55,covid-19 vaccine,Neutral,0,0,reasons to be optimistic for  covid19 vaccine by christmas says expert ,reasons optimistic covid19 vaccine christmas says expert
10/17/2020 19:54,covid-19 vaccine,Neutral,0,0.1,dan james actually did  take on covid19 vaccine incoming,james actually covid19 vaccine incoming
10/17/2020 19:54,covid-19 vaccine,Neutral,0,0,ailments in covid19 trials raise questions about vaccine method bloomberg ,ailments covid19 trials raise questions vaccine method bloomberg
10/17/2020 19:53,covid-19 vaccine,Neutral,0,0,hundreds queue for 45  shot covid vaccine in china via ,hundreds queue 45 shot covid vaccine china via
10/17/2020 19:53,covid-19 vaccine,Neutral,0,0, herd immunity has never been achieved ever in the histor ,herd immunity never achieved ever histor
10/17/2020 19:50,covid-19 vaccine,Neutral,0,0,ailments in covid19 trials raise questions about vaccine method ,ailments covid19 trials raise questions vaccine method
10/17/2020 19:50,covid-19 vaccine,Neutral,0,0,reasons to be optimistic for  covid19 vaccine by christmas says expert ,reasons optimistic covid19 vaccine christmas says expert
10/17/2020 19:50,covid-19 vaccine,Neutral,0,0,pm chairs meeting on the covid19 pandemic situation and vaccine delivery distribution and administration ,pm chairs meeting covid19 pandemic situation vaccine delivery distribution administration
10/17/2020 19:49,covid-19 vaccine,Neutral,0,0.125,reasons to be optimistic for  covid19 vaccine by christmas says expert our family doctor said the same yesterday ,reasons optimistic covid19 vaccine christmas says expert family doctor said yesterday
10/17/2020 19:46,covid-19 vaccine,Neutral,0,0,google amp oracle to monitor americans who get warp speed  covid19 vaccine for up to two years via ,google amp oracle monitor americans get warp speed covid19 vaccine two years via
10/17/2020 19:45,covid-19 vaccine,Neutral,0,0.5,an open letter from the frontrunner covid19 vaccine producer published friday ends any expectations  vaccine migh ,open letter frontrunner covid19 vaccine producer published friday ends expectations vaccine migh
10/17/2020 19:44,covid-19 vaccine,Neutral,0,0,ailments in covid19 trials raise questions about vaccine method ,ailments covid19 trials raise questions vaccine method
10/17/2020 19:42,covid-19 vaccine,Neutral,0,0,online gamers could help vaccinate billions gamersunite covid19 vaccination medtwitter ,online gamers could help vaccinate billions gamersunite covid19 vaccination medtwitter
10/17/2020 19:40,covid-19 vaccine,Neutral,0,0.0625,tyrants and so called medical experts can try to make the case for mandatory vaccinations these same tyrants amp exp ,tyrants called medical experts try make case mandatory vaccinations tyrants amp exp
10/17/2020 19:40,covid-19 vaccine,Neutral,0,0,ailments in covid19 trials raise questions about vaccine method biden harris trump pence gop republican ,ailments covid19 trials raise questions vaccine method biden harris trump pence gop republican
10/17/2020 19:39,covid-19 vaccine,Neutral,0,0,msm claims vaccine skeptics merging  extremists amp covid19 vaccine sur via ,msm claims vaccine skeptics merging extremists amp covid19 vaccine via
10/17/2020 19:39,covid-19 vaccine,Neutral,0,0.066666667,this exercise will serve two purposes 1 provide flu shots to residents during flu season and 2 help public heal ,exercise serve two purposes 1 provide flu shots residents flu season 2 help public heal
10/17/2020 19:37,covid-19 vaccine,Neutral,0,0,three ongoing influenza vaccine cardiovascular outcomes trials cou ,three ongoing influenza vaccine cardiovascular outcomes trials cou
10/17/2020 19:35,covid-19 vaccine,Neutral,0,0, virginia begins planning for eventual covid19 vaccine richmond com file in this march 16 2020 file pho ,virginia begins planning eventual covid19 vaccine richmond file march 16 2020 file pho
10/17/2020 19:35,covid-19 vaccine,Neutral,0,0, it  either the world health organization is just lying the countries in touch with the global covi ,either world health organization lying countries touch global covi
10/17/2020 19:35,covid-19 vaccine,Neutral,0,0.333333333,some rationale for facial masking facial masking for covid19 potential for variolation as we await  vaccin ,rationale facial masking facial masking covid19 potential variolation await vaccin
10/17/2020 19:33,covid-19 vaccine,Neutral,0,0.066666667,kentucky department for public health announces covid19 vaccine distribution draft plan ,kentucky department public health announces covid19 vaccine distribution draft plan
10/17/2020 19:33,covid-19 vaccine,Neutral,0,0.1,india gives go ahead to domestic trial of russia  pioneering sputnik  covid19 vaccine ,india gives go ahead domestic trial russia pioneering sputnik covid19 vaccine
10/17/2020 19:33,covid-19 vaccine,Neutral,0,0.25,as covid19vaccine development continues states race to develop distribution plans nashp recently convened state ,covid19vaccine development continues states race develop distribution plans nashp recently convened state
10/17/2020 19:32,covid-19 vaccine,Neutral,0,0,steven gerrard sub7anallah ,steven gerrard sub7anallah
10/17/2020 19:31,covid-19 vaccine,Neutral,0,0,ailments in covid19 trials raise questions about vaccine method bloomberg via ,ailments covid19 trials raise questions vaccine method bloomberg via
10/17/2020 19:30,covid-19 vaccine,Neutral,0,0, covid19 southafrica and india to the world trade organization wto no patents on vaccine ,covid19 southafrica india world trade organization wto patents vaccine
10/17/2020 19:29,covid-19 vaccine,Neutral,0,0,safety and immunogenicity of two rna based covid19 vaccine candidates nejm ,safety immunogenicity two rna based covid19 vaccine candidates nejm
10/17/2020 19:26,covid-19 vaccine,Neutral,0,0,reasons to be optimistic for  covid19 vaccine by christmas says expert ,reasons optimistic covid19 vaccine christmas says expert
10/17/2020 19:24,covid-19 vaccine,Neutral,0,0,tobacco plants contribute to covid19 vaccine npr story ,tobacco plants contribute covid19 vaccine npr story
10/17/2020 19:23,covid-19 vaccine,Neutral,0,0, stick your vaccine up your arse the covid19 vaccine the science and the sceptics ,stick vaccine arse covid19 vaccine science sceptics
10/17/2020 19:22,covid-19 vaccine,Neutral,0,0.5,covid19 most vulnerable could get vaccine by christmas ,covid19 vulnerable could get vaccine christmas
10/17/2020 19:21,covid-19 vaccine,Neutral,0,0,texas will announce  covid19 vaccine advisory board on monday talking to  border committee this week dshs comm ,texas announce covid19 vaccine advisory board monday talking border committee week dshs comm
10/17/2020 19:20,covid-19 vaccine,Neutral,0,0, everybody dies musk says neither he nor his family will take covid19 vaccine blasts bill gates as knucklehead ,everybody musk says neither family covid19 vaccine blasts bill gates knucklehead
10/17/2020 19:18,covid-19 vaccine,Neutral,0,0,covid19 pm calls for vaccine delivery system involving government and citizen groups ,covid19 pm calls vaccine delivery system involving government citizen groups
10/17/2020 19:18,covid-19 vaccine,Neutral,0,0,until covid19 vaccine arrives nitric oxide can cure patients save lives study science news ,covid19 vaccine arrives nitric oxide cure patients save lives study science news
10/17/2020 19:18,covid-19 vaccine,Neutral,0,0.066666667,this serves the dual purpose of providing flu shots to residents during flu season and helping public health and  ,serves dual purpose providing flu shots residents flu season helping public health
10/17/2020 19:17,covid-19 vaccine,Neutral,0,0.1, actually ,actually
10/17/2020 19:16,covid-19 vaccine,Neutral,0,0, covid19 has not been isolated therefore it can not be tested for the who know this but  ,covid19 isolated therefore tested know
10/17/2020 19:15,covid-19 vaccine,Neutral,0,0,ailments in covid19 trials raise questions about vaccine method ,ailments covid19 trials raise questions vaccine method
10/17/2020 19:15,covid-19 vaccine,Neutral,0,0,covid19 govt identifying 30 crore who will get vaccine on priority india news times of india ,covid19 govt identifying 30 crore get vaccine priority india news times india
10/17/2020 19:15,covid-19 vaccine,Neutral,0,0,larry st onge from dhl and jon chorley from discussed the world of supplychains and logistics and the imp ,larry st onge dhl jon chorley discussed world supplychains logistics imp
10/17/2020 19:14,covid-19 vaccine,Neutral,0,0,fighting stigma india finalising list of 30 crore for covid19 vaccine india is in the process of finalising  ,fighting stigma india finalising list 30 crore covid19 vaccine india process finalising
10/17/2020 19:12,covid-19 vaccine,Neutral,0,0,reasons to be optimistic for  covid19 vaccine by christmas says expert ,reasons optimistic covid19 vaccine christmas says expert
10/17/2020 19:11,covid-19 vaccine,Neutral,0,0, he has secured board memberships that have earned him compensation to the tune of millions of dollars in cash an ,secured board memberships earned compensation tune millions dollars cash
10/17/2020 19:09,covid-19 vaccine,Neutral,0,0,global all vaccine market impact of covid19 size status prnews leader impact of covid19 size status ,global vaccine market impact covid19 size status prnews leader impact covid19 size status
10/17/2020 19:07,covid-19 vaccine,Neutral,0,0,healthcare and biotech folk have been saying this for while but the problem comes with the fact that the vaccine  ,healthcare biotech folk saying problem comes fact vaccine
10/17/2020 19:07,covid-19 vaccine,Neutral,0,0.4, the individual would also have to agree to partake in the covid19 and covid 21 vaccination schedule ,individual would agree partake covid19 covid 21 vaccination schedule
10/17/2020 19:06,covid-19 vaccine,Neutral,0,0, operation warped speed on 9 13 pfizer said its third stage covid19 vaccine trials  ,operation warped speed 9 13 pfizer said third stage covid19 vaccine trials
10/17/2020 19:06,covid-19 vaccine,Neutral,0,0, operation warped speed on 9 13 pfizer said its third stage covid19 vaccine trials might wrap ,operation warped speed 9 13 pfizer said third stage covid19 vaccine trials might wrap
10/17/2020 19:06,covid-19 vaccine,Neutral,0,0, operation warped speed on 9 13 pfizer said its third stage covid19 vaccine  ,operation warped speed 9 13 pfizer said third stage covid19 vaccine
10/17/2020 19:06,covid-19 vaccine,Neutral,0,0, operation warped speed on 9 13 pfizer said its third stage covid19 vaccine trials might wrap ,operation warped speed 9 13 pfizer said third stage covid19 vaccine trials might wrap
10/17/2020 19:06,covid-19 vaccine,Neutral,0,0,coronavirus breakthrough scientists say one million per day to be tested before christmas ,coronavirus breakthrough scientists say million day tested christmas
10/17/2020 19:06,covid-19 vaccine,Neutral,0,0, operation warped speed on 9 13 pfizer said its third stage covid19 vaccine  ,operation warped speed 9 13 pfizer said third stage covid19 vaccine
10/17/2020 19:05,covid-19 vaccine,Neutral,0,0,quimbo said she will push the increase of the budget allocated for the vaccine from p2 5b to p12 82b in the house  ,quimbo said push increase budget allocated vaccine p2 5b p12 82b house
10/17/2020 19:04,covid-19 vaccine,Neutral,0,0, some not all also given that there are over ,given
10/17/2020 19:04,covid-19 vaccine,Neutral,0,0, npr drug companies use tobacco plant protein as ingredient in covid19 vaccine historically tobacco plants ,npr companies use tobacco plant protein ingredient covid19 vaccine historically tobacco plants
10/17/2020 19:03,covid-19 vaccine,Neutral,0,0.5,bbc news covid19 most vulnerable could get vaccine by christmas ,bbc news covid19 vulnerable could get vaccine christmas
10/17/2020 19:03,covid-19 vaccine,Neutral,0,0,this is going to convert me to socialism with chinese characteristics ,going convert socialism chinese characteristics
10/17/2020 19:02,covid-19 vaccine,Neutral,0,1,wait the us population is 382 million and yet only 300 million doses of the covid19 vaccine are supposedly being ,wait us population 382 million yet 300 million doses covid19 vaccine supposedly
10/17/2020 19:00,covid-19 vaccine,Neutral,0,0,pfizer to seek fda approval for covid19 vaccine in november ,pfizer seek fda approval covid19 vaccine november
10/17/2020 19:00,covid-19 vaccine,Neutral,0,0,states face friday deadline from cdc to submit plans to distribute coronavirus vaccine ,states friday deadline cdc submit plans distribute coronavirus vaccine
10/17/2020 19:00,covid-19 vaccine,Neutral,0,0,ndtv russia receives renewed approval for covid19 vaccine trials in india covid vaccinetrials ,ndtv russia receives renewed approval covid19 vaccine trials india covid vaccinetrials
10/17/2020 18:58,covid-19 vaccine,Neutral,0,0,prime minister chairs meeting on the covid19 pandemic situation and vaccine delivery distribution and administrat ,prime minister chairs meeting covid19 pandemic situation vaccine delivery distribution administrat
